num,value
33,"[[  30.18014   120.22601 ]
 [  30.177894  120.215715]
 [  30.179002  120.213524]
 [  30.18807   120.210902]
 [  30.189281  120.210671]
 [  30.18954   120.21066 ]
 [  30.190094  120.213802]
 [  30.190264  120.214785]
 [  30.190273  120.21484 ]
 [  30.190291  120.214962]
 [  30.190477  120.21653 ]
 [  30.190754  120.220321]
 [  30.189281  120.223832]
 [  30.189272  120.22385 ]
 [  30.18869   120.224834]
 [  30.188024  120.22587 ]
 [  30.187932  120.225959]
 [  30.186771  120.22651 ]
 [  30.182034  120.227918]]"
34,"[[  30.21721   120.226872]
 [  30.216802  120.222185]
 [  30.219948  120.22186 ]
 [  30.225982  120.22525 ]
 [  30.226624  120.22584 ]
 [  30.226651  120.225884]
 [  30.226694  120.22598 ]
 [  30.226926  120.22767 ]
 [  30.22417   120.230652]
 [  30.221943  120.230789]
 [  30.221572  120.230691]]"
35,"[[  30.2789    120.114852]
 [  30.278963  120.110091]
 [  30.28193   120.10855 ]
 [  30.290054  120.111293]
 [  30.291274  120.11529 ]
 [  30.291508  120.116542]
 [  30.291515  120.11713 ]
 [  30.289815  120.118832]
 [  30.284134  120.119352]
 [  30.283048  120.119434]
 [  30.278954  120.11754 ]
 [  30.2789    120.115161]]"
36,"[[  30.24095   120.204864]
 [  30.24517   120.207373]
 [  30.244763  120.208383]
 [  30.24371   120.21035 ]
 [  30.241945  120.213377]
 [  30.240602  120.212941]
 [  30.23982   120.212522]
 [  30.236634  120.210139]
 [  30.236884  120.208629]
 [  30.23712   120.208321]
 [  30.238     120.20726 ]
 [  30.239394  120.205641]
 [  30.23968   120.205322]]"
37,"[[  30.167634  120.148598]
 [  30.16731   120.147992]
 [  30.16927   120.144113]
 [  30.170764  120.143514]
 [  30.176174  120.143102]
 [  30.177792  120.145052]
 [  30.177102  120.146287]
 [  30.172634  120.149671]
 [  30.172421  120.149821]
 [  30.169751  120.15095 ]]"
38,"[[  30.186254  120.186542]
 [  30.185644  120.180074]
 [  30.185644  120.18006 ]
 [  30.191777  120.178814]
 [  30.191814  120.178923]
 [  30.192014  120.18217 ]
 [  30.188241  120.186132]]"
39,"[[  30.31498   120.259622]
 [  30.316292  120.256602]
 [  30.31883   120.25735 ]
 [  30.323371  120.26029 ]
 [  30.32279   120.262376]
 [  30.320868  120.264053]
 [  30.319611  120.26373 ]
 [  30.31669   120.262603]
 [  30.315422  120.26145 ]]"
40,"[[  30.296858  120.389405]
 [  30.295212  120.383832]
 [  30.297507  120.38294 ]
 [  30.29926   120.382984]
 [  30.30006   120.383863]
 [  30.3006    120.387334]
 [  30.30047   120.38742 ]]"
41,"[[  30.286454  120.102167]
 [  30.2841    120.099112]
 [  30.28663   120.09482 ]
 [  30.286815  120.094622]
 [  30.290437  120.09709 ]
 [  30.29087   120.098061]
 [  30.29009   120.098794]]"
42,"[[  30.282147  120.17545 ]
 [  30.282183  120.173972]
 [  30.284134  120.17518 ]
 [  30.28606   120.176534]
 [  30.287656  120.177808]
 [  30.285997  120.179351]
 [  30.285071  120.179942]
 [  30.284143  120.17973 ]
 [  30.283593  120.179481]
 [  30.282628  120.17834 ]]"
43,"[[  30.32234   120.32581 ]
 [  30.32292   120.324221]
 [  30.325261  120.325578]
 [  30.325312  120.326132]
 [  30.3249    120.328941]
 [  30.322984  120.330122]
 [  30.322975  120.330089]
 [  30.322664  120.328142]
 [  30.32234   120.325871]]"
44,"[[  30.260781  120.19046 ]
 [  30.259535  120.195602]
 [  30.25593   120.19558 ]
 [  30.25554   120.19028 ]
 [  30.25658   120.190007]
 [  30.258846  120.190104]]"
45,"[[  30.242572  120.196171]
 [  30.24438   120.190231]
 [  30.24579   120.190052]
 [  30.2482    120.192683]
 [  30.248448  120.195873]
 [  30.248081  120.19805 ]
 [  30.247953  120.198554]
 [  30.244462  120.19997 ]
 [  30.244152  120.199573]
 [  30.243192  120.197521]]"
46,"[[  30.346613  120.295382]
 [  30.345054  120.29004 ]
 [  30.34795   120.288861]
 [  30.349373  120.290181]
 [  30.348994  120.294691]
 [  30.348291  120.295073]]"
47,"[[  30.228464  120.191862]
 [  30.2297    120.190952]
 [  30.2312    120.18994 ]
 [  30.231452  120.190007]
 [  30.233852  120.191452]
 [  30.23479   120.193411]
 [  30.234509  120.193852]
 [  30.233792  120.194908]
 [  30.232854  120.195429]
 [  30.23118   120.195234]
 [  30.229282  120.19302 ]
 [  30.228482  120.192063]]"
48,"[[  30.29009   120.383029]
 [  30.287461  120.384274]
 [  30.283755  120.38163 ]
 [  30.283066  120.38047 ]
 [  30.282886  120.379732]
 [  30.282886  120.37962 ]
 [  30.283066  120.377753]
 [  30.285844  120.376239]
 [  30.287563  120.377859]
 [  30.28987   120.381661]]"
49,"[[  30.178462  120.154014]
 [  30.179845  120.14918 ]
 [  30.181577  120.14611 ]
 [  30.183904  120.147012]
 [  30.185376  120.147704]
 [  30.186002  120.149671]
 [  30.185927  120.151682]
 [  30.185866  120.151771]
 [  30.183502  120.153512]
 [  30.182     120.154059]
 [  30.181506  120.154152]
 [  30.18037   120.154192]
 [  30.18006   120.154192]
 [  30.17901   120.154152]
 [  30.178528  120.154095]]"
50,"[[  30.237873  120.245662]
 [  30.239968  120.241416]
 [  30.241009  120.242544]
 [  30.241954  120.244363]
 [  30.24201   120.24463 ]
 [  30.242082  120.24727 ]
 [  30.242082  120.24729 ]
 [  30.242038  120.247408]
 [  30.241866  120.24773 ]
 [  30.241804  120.247822]
 [  30.23864   120.247221]]"
51,"[[  30.27471   120.179594]
 [  30.278274  120.18342 ]
 [  30.278145  120.18368 ]
 [  30.27758   120.18475 ]
 [  30.27428   120.18593 ]
 [  30.273971  120.186022]
 [  30.272677  120.183922]
 [  30.27215   120.182333]
 [  30.273803  120.179942]]"
52,"[[  30.181521  120.20883 ]
 [  30.181688  120.20827 ]
 [  30.183094  120.207113]
 [  30.183176  120.207052]
 [  30.183315  120.20713 ]
 [  30.185737  120.21082 ]
 [  30.182843  120.211042]
 [  30.182714  120.211051]
 [  30.182464  120.21106 ]
 [  30.181688  120.20984 ]]"
53,"[[  30.235812  120.25165 ]
 [  30.237776  120.250602]
 [  30.23876   120.25486 ]
 [  30.237527  120.256252]]"
