num,value
28,"[[  30.246154  120.217971]
 [  30.2451    120.216229]
 [  30.245646  120.215333]
 [  30.24639   120.214123]
 [  30.248577  120.210833]
 [  30.249022  120.21024 ]
 [  30.251876  120.20741 ]
 [  30.252282  120.207311]
 [  30.253248  120.207342]
 [  30.254671  120.208193]
 [  30.256137  120.211393]
 [  30.256321  120.213159]
 [  30.25629   120.213248]
 [  30.251445  120.21872 ]
 [  30.250997  120.218782]]"
29,"[[  30.183287  120.144921]
 [  30.188605  120.146504]
 [  30.188427  120.14828 ]
 [  30.186073  120.15265 ]
 [  30.183213  120.15552 ]
 [  30.180177  120.156152]
 [  30.178462  120.155   ]
 [  30.178351  120.154182]
 [  30.179709  120.1494  ]
 [  30.180015  120.148963]]"
30,"[[  30.147184  120.077499]
 [  30.150183  120.076913]
 [  30.150927  120.07693 ]
 [  30.15142   120.077613]
 [  30.151481  120.077822]
 [  30.151754  120.082821]
 [  30.150868  120.08392 ]
 [  30.149044  120.083871]
 [  30.148991  120.08384 ]
 [  30.147355  120.082541]
 [  30.14661   120.08018 ]
 [  30.14694   120.07848 ]]"
31,"[[  30.295409  120.10625 ]
 [  30.295536  120.10242 ]
 [  30.29731   120.101503]
 [  30.300294  120.10055 ]
 [  30.307604  120.10555 ]
 [  30.308151  120.10637 ]
 [  30.308133  120.107112]
 [  30.307874  120.107894]
 [  30.306531  120.11111 ]
 [  30.304237  120.111874]
 [  30.303432  120.11197 ]
 [  30.296203  120.108043]
 [  30.296173  120.108012]]"
32,"[[  30.184174  120.207311]
 [  30.184285  120.209922]
 [  30.181924  120.212044]
 [  30.177626  120.213802]
 [  30.177644  120.211195]
 [  30.17892   120.206462]
 [  30.183706  120.207094]]"
33,"[[  30.420253  120.30212 ]
 [  30.420111  120.30091 ]
 [  30.421783  120.29907 ]
 [  30.423571  120.29833 ]
 [  30.428037  120.299022]
 [  30.429023  120.29984 ]
 [  30.430178  120.301313]
 [  30.430369  120.303294]
 [  30.428578  120.305142]
 [  30.426902  120.306562]
 [  30.425094  120.30698 ]
 [  30.422883  120.307473]
 [  30.422083  120.306061]]"
34,"[[  30.232193  120.42975 ]
 [  30.23448   120.429551]
 [  30.23529   120.430751]
 [  30.235372  120.43088 ]
 [  30.23718   120.434773]
 [  30.237067  120.435084]
 [  30.23357   120.438664]
 [  30.233514  120.438551]
 [  30.23326   120.437789]
 [  30.232845  120.435043]]"
35,"[[  30.290196  120.079232]
 [  30.285053  120.076989]
 [  30.286912  120.070613]
 [  30.290621  120.06986 ]
 [  30.292975  120.07032 ]
 [  30.293037  120.07045 ]
 [  30.2938    120.073664]
 [  30.293046  120.076992]]"
36,"[[  30.184156  120.26882 ]
 [  30.183111  120.271079]
 [  30.17966   120.271621]
 [  30.177728  120.271717]
 [  30.177662  120.27172 ]
 [  30.177238  120.271051]
 [  30.177127  120.265679]
 [  30.177311  120.264731]
 [  30.17756   120.264762]
 [  30.182557  120.266813]]"
37,"[[  30.274433  120.101221]
 [  30.27107   120.10325 ]
 [  30.268935  120.102472]
 [  30.268038  120.101272]
 [  30.268588  120.097464]
 [  30.270742  120.096601]
 [  30.271887  120.09783 ]]"
38,"[[  30.30095   120.123275]
 [  30.305324  120.126871]
 [  30.304664  120.128501]
 [  30.303041  120.129873]
 [  30.296681  120.12637 ]
 [  30.297357  120.125586]]"
39,"[[  30.297004  120.388971]
 [  30.294971  120.38389 ]
 [  30.295051  120.383832]
 [  30.29511   120.383791]
 [  30.297541  120.38224 ]
 [  30.299233  120.383   ]
 [  30.300572  120.3839  ]
 [  30.300334  120.387283]
 [  30.297237  120.38891 ]]"
40,"[[  30.288173  120.041021]
 [  30.290972  120.037542]
 [  30.29388   120.039212]
 [  30.293901  120.039274]
 [  30.293724  120.04285 ]
 [  30.292975  120.043879]
 [  30.292227  120.043882]
 [  30.288955  120.042202]
 [  30.28883   120.04204 ]]"
41,"[[  30.383844  120.297706]
 [  30.383558  120.297904]
 [  30.382735  120.297932]
 [  30.382726  120.297932]
 [  30.381963  120.297779]
 [  30.3819    120.297751]
 [  30.381884  120.297734]
 [  30.381551  120.29716 ]
 [  30.381524  120.297112]
 [  30.38133   120.296517]
 [  30.381238  120.296172]
 [  30.381247  120.296124]
 [  30.381283  120.29603 ]
 [  30.381533  120.295942]
 [  30.381593  120.29596 ]
 [  30.381635  120.29599 ]]"
42,"[[  30.302532  120.373431]
 [  30.300202  120.371052]
 [  30.302864  120.367693]
 [  30.302882  120.367673]
 [  30.305342  120.367229]
 [  30.30866   120.368695]
 [  30.308909  120.368893]
 [  30.308934  120.368961]
 [  30.308854  120.369932]
 [  30.308693  120.370442]
 [  30.304815  120.37325 ]
 [  30.303034  120.37376 ]]"
43,"[[  30.233825  120.25614 ]
 [  30.227775  120.260612]
 [  30.22576   120.25856 ]
 [  30.225302  120.255452]
 [  30.225334  120.255421]
 [  30.228686  120.252308]
 [  30.233444  120.253332]
 [  30.233611  120.25448 ]]"
44,"[[  30.235812  120.257151]
 [  30.234291  120.252132]
 [  30.23551   120.251386]
 [  30.237323  120.251942]
 [  30.237934  120.25273 ]
 [  30.238234  120.25327 ]
 [  30.238327  120.253513]
 [  30.23828   120.255322]
 [  30.237776  120.25608 ]]"
45,"[[  30.172273  120.158213]
 [  30.170358  120.15552 ]
 [  30.170582  120.154589]
 [  30.173244  120.153331]
 [  30.176276  120.154579]
 [  30.176442  120.155789]
 [  30.176267  120.157639]
 [  30.173734  120.159519]
 [  30.1737    120.15954 ]
 [  30.173521  120.159522]
 [  30.173512  120.159519]]"
46,"[[  30.285742  120.028642]
 [  30.28596   120.030611]
 [  30.28449   120.031533]
 [  30.283311  120.031911]
 [  30.28106   120.031682]
 [  30.279934  120.03092 ]
 [  30.281041  120.026601]
 [  30.28119   120.026531]
 [  30.281471  120.02645 ]
 [  30.28173   120.02645 ]]"
47,"[[  30.323222  120.144639]
 [  30.319676  120.146352]
 [  30.319592  120.146318]
 [  30.319502  120.14624 ]
 [  30.317373  120.14253 ]
 [  30.317373  120.142512]
 [  30.32083   120.140424]
 [  30.32217   120.141974]]"
48,"[[  30.283084  120.099242]
 [  30.286713  120.09587 ]
 [  30.288594  120.095754]
 [  30.290455  120.097119]
 [  30.29038   120.097891]
 [  30.290335  120.098271]
 [  30.286574  120.10211 ]
 [  30.286556  120.102124]
 [  30.283163  120.09931 ]]"
